Exchange,ErrorCode,ErrorMsg
大商所,41037,该品种当前是集合竞价申报
大商所,41037,该品种当前是集合竞价申报1 阶段
大商所,41037,该品种当前是集合竞价申报2 阶段
大商所,41037,该品种当前是集合竞价暂停
大商所,41037,该品种当前是集合竞价撮合
大商所,41037,该品种当前是连续交易暂停
大商所,41037,该品种当前是收市
大商所,41038,交易员不能撤强平单
大商所,41039,已经撤单
大商所,41040,完全成交
大商所,41041,委托单不存在
大商所,41042,此会员无结算帐号
大商所,41043,套利策略规则表里不存在此记录
大商所,41044,取不到固定保证金
大商所,41045,该市场状态当前是初始化后
大商所,41045,该市场状态已关闭
大商所,41045,该市场状态当前是暂停
大商所,41046,结算账号禁止开仓
大商所,41047,客户不存在
大商所,41048,期权价格必须大于等于TICK
大商所,41049,期权止损价格必须大于等于TICK
大商所,41050,定单来源检查错误
大商所,41051,期权组合保证金比例表无对应的组合记录
大商所,41052,该合约当前是集合竞价申报
大商所,41052,该合约当前是集合竞价申报1 阶段
大商所,41052,该合约当前是集合竞价申报2 阶段
大商所,41052,该合约当前是集合竞价暂停
大商所,41052,该合约当前是连续交易暂停
大商所,41052,该合约当前是初始化后
大商所,41052,该合约当前是集合竞价撮合
大商所,41052,该合约当前是收市
大商所,41053,不能撤销手动或自动产生的强平单
大商所,41055,做市商标记错误
大商所,41056,双边报价指令要求两个单子
大商所,41057,双边报价指令必须为限价委托
大商所,41058,双边报价指令定单属性必须同时为无或GIS
大商所,41059,双边报价指令两条腿必须都是做市商
大商所,41060,双边报价指令两腿委托数量相等
大商所,41061,双边报价指令两腿合约不相同
大商所,41062,双边报价指令两腿必须一买一卖
大商所,41063,合约已经停牌
大商所,41064,期权必须是投机
大商所,41065,只有做市商可以下双边报价指令
大商所,41066,双边报价指令两腿定单类别必须为双边定单
大商所,41067,只允许一个撤单域
大商所,41068,批量定单两腿客户号不一致
大商所,41069,此套利合约不支持互换定单
大商所,41070,品种交易状态不存在
大商所,41071,套利各腿合约交易状态不一致
大商所,41072,双边报价指令两腿客户号不一致
大商所,41073,双边报价指令卖价必须大于买价
大商所,41074,无品种指令权限
大商所,41075,该品种不支持双边报价定单
大商所,41076,该品种只支持做市商下双边报价定单
大商所,41077,做市商在该品种无双边报价权限
大商所,41078,双边报价定单两腿定单类别不一致
大商所,41079,该品种不支持市价单
大商所,41080,双边定单两腿投保标志不一致
大商所,41081,该客户在该品种交易类型上没有套保资格
大商所,41082,该客户在该品种交易类型上不能投机开仓
大商所,41083,该实控组该合约不可交易
大商所,41084,该实控组该合约只可平仓
大商所,41085,本地报单号重复
大商所,41086,做市商保护期间不允许报单
大商所,41087,批量指令使用频率限制期间不允许报单
大商所,41088,做市商取消冻结失败，当前为非冻结状态
大商所,41089,重复触发批量双边报价使用频率限制
大商所,41090,做市商频率限制状态错误
大商所,41091,做市商保护冻结失败，重复触发冻结
大商所,41092,当前交易状态不允许触发做市商保护冻结
大商所,41094,批量双边单必须对同一品种或交易类型操作
